조사연도,응답주체,응답자ID,학교ID,indicator_id,값,결측보정,지역규모코드,분모학생수
2025,교사,10011491,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10011653,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10011670,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10011689,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10011791,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10011888,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10012042,1001,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10012061,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10012299,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10012489,1001,TR_EFFICACY_01,5.0,,1.0,
2025,교사,10013202,1001,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10031054,1003,TR_EFFICACY_01,3.0,,2.0,
2025,교사,10031280,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10031289,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10031483,1003,TR_EFFICACY_01,3.0,,2.0,
2025,교사,10031505,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10031540,1003,TR_EFFICACY_01,5.0,,2.0,
2025,교사,10031884,1003,TR_EFFICACY_01,5.0,,2.0,
2025,교사,10032027,1003,TR_EFFICACY_01,5.0,,2.0,
2025,교사,10032583,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10032685,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10032779,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10033296,1003,TR_EFFICACY_01,4.0,,2.0,
2025,교사,10033534,1003,TR_EFFICACY_01,3.0,,2.0,
2025,교사,10043504,1004,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10051091,1005,TR_EFFICACY_01,5.0,,1.0,
2025,교사,10051192,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10051348,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10051375,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10051552,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10051583,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10051760,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10051938,1005,TR_EFFICACY_01,5.0,,1.0,
2025,교사,10051962,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052186,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052295,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10052512,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052800,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052833,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052845,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052896,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10052973,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10053014,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10053133,1005,TR_EFFICACY_01,2.0,,1.0,
2025,교사,10053280,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10053322,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10053369,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10053489,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10053595,1005,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10053598,1005,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10061090,1006,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10061298,1006,TR_EFFICACY_01,3.0,,1.0,
2025,교사,10061778,1006,TR_EFFICACY_01,4.0,,1.0,
2025,교사,10062004,1006,TR_EFFICACY_01,4.0,,1.0,
